Type 1,0.0,1.0,2.0,3.0,4.0,5.0,6.0,nan
BAR EST.,1.0,,,,,,,
Barrier Estuary,6.0,,,5.0,,,1.0,
Coastal Plain,,,,,,1.0,,
Fjord,,,,1.0,,1.0,,
LSE,18.0,,1.0,3.0,,1.0,4.0,
LSE ,1.0,,,1.0,,,,
Macrotidal,2.0,2.0,,1.0,1.0,7.0,,
OPN,2.0,,,,,,,
Open,4.0,7.0,,1.0,2.0,8.0,1.0,
Open ,,,,1.0,,,,
Ria,6.0,,,,,,,
TDL,1.0,,,,,,,
Tidal Inlet,7.0,,,,,1.0,,
nan,,,,,,,,0.0
