,0,1,2,3,4,5,6
Barrier Estuary,2.5547615401063415,0,0.0,0.0,0.0,0,0
Coastal Plain,0.0,0,0.0,0.0,0.0,0,0
Fjord,0.0,0,0.0,0.0,0.0,0,0
LSE,0.0,0,-2.344130861310753,0.0,0.0,0,0
Macrotidal,0.0,0,0.0,0.0,0.0,0,0
Open,0.0,0,2.4909819524324193,2.9012942659282968,0.0,0,0
Ria,0.0,0,0.0,0.0,2.5849213105659876,0,0
Tidal Inlet,0.0,0,0.0,0.0,0.0,0,0
